Date;Hour;Station;Ridership
2025-08-01;18;Indiranagar;2386
2025-08-01;19;Indiranagar;2260
2025-08-01;20;Indiranagar;1648
2025-08-01;21;Indiranagar;833
2025-08-01;22;Indiranagar;460
2025-08-01;23;Indiranagar;233
2025-08-01;0;Infosys Foundation Konappana Agrahara;0
2025-08-01;1;Infosys Foundation Konappana Agrahara;0
2025-08-01;2;Infosys Foundation Konappana Agrahara;0
2025-08-01;3;Infosys Foundation Konappana Agrahara;0
2025-08-01;4;Infosys Foundation Konappana Agrahara;0
2025-08-01;5;Infosys Foundation Konappana Agrahara;0
2025-08-01;6;Infosys Foundation Konappana Agrahara;0
2025-08-01;7;Infosys Foundation Konappana Agrahara;0
2025-08-01;8;Infosys Foundation Konappana Agrahara;0
2025-08-01;9;Infosys Foundation Konappana Agrahara;0
2025-08-01;10;Infosys Foundation Konappana Agrahara;0
2025-08-01;11;Infosys Foundation Konappana Agrahara;0
2025-08-01;12;Infosys Foundation Konappana Agrahara;0
